Frame,Pixel Count
GMG,0
MOG,112896
MOG2,0
KNN,112896
CNT,112896
GMG,0
MOG,4050
MOG2,597
KNN,112896
CNT,112896
GMG,0
MOG,4846
MOG2,953
KNN,112810
CNT,112896
GMG,0
MOG,2909
MOG2,960
KNN,112797
CNT,112896
GMG,0
MOG,2816
MOG2,924
KNN,6869
CNT,112896
GMG,0
MOG,4116
MOG2,1192
KNN,6038
CNT,112896
GMG,0
MOG,3470
MOG2,1198
KNN,6358
CNT,112896
GMG,0
MOG,2851
MOG2,1148
KNN,5758
CNT,112896
GMG,0
MOG,2511
MOG2,1129
KNN,5248
CNT,112896
GMG,0
MOG,2694
MOG2,1186
KNN,4925
CNT,112896
GMG,0
MOG,2939
MOG2,1230
KNN,5388
CNT,112896
GMG,0
MOG,2786
MOG2,1132
KNN,5403
CNT,112896
GMG,0
MOG,3023
MOG2,1228
KNN,5606
CNT,112896
GMG,0
MOG,2877
MOG2,1220
KNN,5665
CNT,112896
GMG,0
MOG,2565
MOG2,1223
KNN,5707
CNT,112896
GMG,0
MOG,3553
MOG2,1249
KNN,5741
CNT,6863
GMG,0
MOG,4408
MOG2,1206
KNN,5769
CNT,7012
GMG,0
MOG,4312
MOG2,1176
KNN,5428
CNT,6937
GMG,0
MOG,3244
MOG2,1231
KNN,5392
CNT,6955
GMG,0
MOG,3251
MOG2,1197
KNN,5260
CNT,6821
GMG,0
MOG,3509
MOG2,1168
KNN,5143
CNT,6822
GMG,0
MOG,3731
MOG2,1156
KNN,5371
CNT,6707
GMG,0
MOG,3876
MOG2,1148
KNN,5323
CNT,6649
GMG,0
MOG,3720
MOG2,1164
KNN,5279
CNT,6559
GMG,0
MOG,3812
MOG2,1220
KNN,5317
CNT,6541
GMG,0
MOG,3949
MOG2,1212
KNN,5250
CNT,6482
GMG,0
MOG,3780
MOG2,1218
KNN,5168
CNT,6438
GMG,0
MOG,3860
MOG2,1166
KNN,5131
CNT,6367
GMG,0
MOG,3823
MOG2,1196
KNN,4978
CNT,6300
GMG,0
MOG,3897
MOG2,1209
KNN,4943
CNT,6255
GMG,0
MOG,4231
MOG2,1198
KNN,4914
CNT,6224
GMG,0
MOG,4309
MOG2,1269
KNN,5089
CNT,6179
GMG,0
MOG,4329
MOG2,1284
KNN,4998
CNT,6164
GMG,0
MOG,4362
MOG2,1234
KNN,4907
CNT,6136
GMG,0
MOG,4221
MOG2,1264
KNN,4802
CNT,6109
GMG,0
MOG,4327
MOG2,1278
KNN,4781
CNT,6024
GMG,0
MOG,4440
MOG2,1257
KNN,4710
CNT,5964
GMG,0
MOG,4328
MOG2,1321
KNN,4750
CNT,5909
GMG,0
MOG,4400
MOG2,1312
KNN,4728
CNT,5864
GMG,0
MOG,4317
MOG2,1296
KNN,4724
CNT,5825
GMG,0
MOG,4303
MOG2,1287
